Time[s],sma::BMS_UIT::bat_i[A],sma::BMS_UIT::bat_u[V],sma::SMA_UI::inv_i[A],sma::SMA_UI::inv_u[V],sma::BMS_UIT::bat_ready
33.395600,0.000000,347.200000,,,2.000000
33.405740,0.000000,347.200000,,,2.000000
33.414940,0.000000,347.200000,,,2.000000
33.454650,0.000000,347.200000,,,2.000000
33.554690,0.000000,347.100000,,,2.000000
33.654670,0.000000,347.100000,,,2.000000
33.754730,0.000000,347.100000,,,2.000000
33.854850,0.000000,347.100000,,,2.000000
33.954670,0.000000,347.100000,,,2.000000
34.055990,0.000000,347.100000,,,2.000000
34.154720,0.000000,347.100000,,,2.000000
34.255540,0.000000,347.100000,,,2.000000
34.354680,0.000000,347.200000,,,2.000000
34.454700,0.000000,347.100000,,,2.000000
34.554730,0.000000,347.100000,,,2.000000
34.654690,0.000000,347.100000,,,2.000000
34.754620,0.000000,347.100000,,,2.000000
34.855360,0.000000,347.100000,,,2.000000
34.954630,0.000000,347.200000,,,2.000000
34.988610,,,0.000000,0.300000,
35.054660,0.000000,347.100000,,,2.000000
35.088550,,,0.000000,0.300000,
35.154730,0.000000,347.100000,,,2.000000
35.189290,,,0.000000,0.300000,
35.254720,0.000000,347.100000,,,2.000000
35.289280,,,0.000000,0.300000,
35.354690,0.000000,347.100000,,,2.000000
35.389250,,,0.000000,0.300000,
35.455350,0.000000,347.100000,,,2.000000
35.489230,,,0.000000,0.300000,
35.555770,0.000000,347.100000,,,2.000000
35.588640,,,0.000000,0.300000,
35.654610,0.000000,347.100000,,,2.000000
35.688540,,,0.000000,0.300000,
35.754720,0.000000,347.100000,,,2.000000
35.791740,,,0.000000,0.300000,
35.854670,0.000000,347.100000,,,2.000000
35.888580,,,0.000000,0.300000,
35.954620,0.000000,347.100000,,,2.000000
35.988640,,,0.000000,0.300000,
36.055350,0.000000,347.100000,,,2.000000
36.088620,,,0.000000,0.300000,
36.154660,0.000000,347.100000,,,2.000000
36.188580,,,0.000000,0.300000,
36.254770,0.000000,347.100000,,,2.000000
36.288540,,,0.000000,0.300000,
36.354610,0.000000,347.100000,,,2.000000
36.388630,,,0.000000,0.300000,
36.454660,0.000000,347.100000,,,2.000000
36.488610,,,0.000000,0.300000,
36.554640,0.000000,347.100000,,,2.000000
36.588580,,,0.000000,0.300000,
36.655340,0.000000,347.100000,,,2.000000
36.688570,,,0.000000,0.300000,
36.754630,0.000000,347.100000,,,2.000000
36.788610,,,0.000000,0.300000,
36.854670,0.000000,347.100000,,,2.000000
36.888510,,,0.000000,0.300000,
36.954620,0.000000,347.200000,,,2.000000
36.988550,,,0.000000,0.300000,
37.054640,0.000000,347.100000,,,2.000000
37.088530,,,0.000000,0.300000,
37.154580,0.000000,347.100000,,,2.000000
37.188530,,,0.000000,0.300000,
37.255330,0.000000,347.100000,,,2.000000
37.288500,,,0.000000,0.300000,
37.354670,0.000000,347.100000,,,2.000000
37.388530,,,0.000000,0.300000,
37.454640,0.000000,347.100000,,,2.000000
37.488440,,,0.000000,0.300000,
37.554590,0.000000,347.200000,,,2.000000
37.588530,,,0.000000,0.300000,
37.654590,0.000000,347.100000,,,2.000000
37.688500,,,0.000000,0.300000,
37.754640,0.000000,347.100000,,,2.000000
37.788560,,,0.000000,0.300000,
37.854290,0.000000,347.100000,,,2.000000
37.888560,,,0.000000,0.300000,
37.954630,0.000000,347.100000,,,2.000000
37.988610,,,0.000000,0.300000,
38.054620,0.000000,347.100000,,,2.000000
38.088490,,,0.000000,0.300000,
38.154630,0.000000,347.100000,,,2.000000
38.188550,,,0.000000,0.300000,
38.254630,0.000000,347.100000,,,2.000000
38.288600,,,0.000000,0.300000,
38.354680,0.000000,347.100000,,,2.000000
38.388600,,,0.000000,0.300000,
38.454660,0.000000,347.100000,,,2.000000
38.488560,,,0.000000,0.300000,
38.554610,0.000000,347.100000,,,2.000000
38.588550,,,0.000000,0.300000,
38.654610,0.000000,347.100000,,,2.000000
38.688510,,,0.000000,0.300000,
38.754300,0.000000,347.200000,,,2.000000
38.788590,,,0.000000,0.300000,
38.854670,0.000000,347.100000,,,2.000000
38.888550,,,0.000000,0.300000,
38.955330,0.000000,347.100000,,,2.000000
38.988540,,,0.000000,0.300000,
39.054640,0.000000,347.100000,,,2.000000
39.088590,,,0.000000,0.300000,
39.154580,0.000000,347.100000,,,2.000000
39.188490,,,0.000000,0.300000,
39.254650,0.000000,347.100000,,,2.000000
39.288540,,,0.000000,0.300000,
39.354620,0.000000,347.100000,,,2.000000
39.388540,,,0.000000,0.300000,
39.454600,0.000000,347.100000,,,2.000000
39.488580,,,0.000000,0.300000,
39.555360,0.000000,347.100000,,,2.000000
39.588570,,,0.000000,0.300000,
39.654610,0.000000,347.100000,,,2.000000
39.688540,,,0.000000,0.300000,
39.754600,0.000000,347.100000,,,2.000000
39.788490,,,0.000000,0.300000,
39.854610,0.000000,347.100000,,,2.000000
39.888570,,,0.000000,0.300000,
39.954600,0.000000,347.100000,,,2.000000
39.988550,,,0.000000,0.300000,
40.054750,0.000000,347.100000,,,2.000000
40.088510,,,0.000000,0.300000,
40.155300,0.000000,347.100000,,,2.000000
40.188490,,,0.000000,0.300000,
40.254560,0.000000,347.100000,,,2.000000
40.288490,,,0.000000,0.300000,
40.354760,0.000000,347.100000,,,2.000000
40.388430,,,0.000000,0.300000,
40.454600,0.000000,347.100000,,,2.000000
40.488440,,,0.000000,0.300000,
40.554580,0.000000,347.100000,,,2.000000
40.588480,,,0.000000,0.300000,
40.654570,0.000000,347.100000,,,2.000000
40.688480,,,0.000000,0.300000,
40.755370,0.000000,347.100000,,,2.000000
40.788460,,,0.000000,0.300000,
40.854560,0.000000,347.100000,,,2.000000
40.888520,,,0.000000,0.300000,
40.954600,0.000000,347.100000,,,2.000000
40.988390,,,0.000000,0.300000,
41.054550,0.000000,347.100000,,,2.000000
41.088560,,,0.000000,0.300000,
41.154570,0.000000,347.100000,,,2.000000
41.188540,,,0.000000,0.300000,
41.254600,0.000000,347.100000,,,2.000000
41.288510,,,0.000000,0.300000,
41.355300,0.000000,347.100000,,,2.000000
41.388510,,,0.000000,0.300000,
41.454580,0.000000,347.100000,,,2.000000
41.488560,,,0.000000,0.300000,
41.554590,0.000000,347.100000,,,2.000000
41.588440,,,0.000000,0.300000,
41.654600,0.000000,347.100000,,,2.000000
41.688500,,,0.000000,0.300000,
41.754690,0.000000,347.100000,,,2.000000
41.788550,,,0.000000,0.300000,
41.854610,0.000000,347.100000,,,2.000000
41.888550,,,0.000000,0.300000,
41.955310,0.000000,347.100000,,,2.000000
41.988520,,,0.000000,0.300000,
42.054610,0.000000,347.100000,,,2.000000
42.088500,,,0.000000,0.300000,
42.154590,0.000000,347.100000,,,2.000000
42.188460,,,0.000000,0.300000,
42.254590,0.000000,347.100000,,,2.000000
42.288540,,,0.000000,0.300000,
42.354620,0.000000,347.100000,,,2.000000
42.388510,,,0.000000,0.300000,
42.454560,0.000000,347.100000,,,2.000000
42.488490,,,0.000000,0.300000,
42.555280,0.000000,347.100000,,,2.000000
42.588540,,,0.000000,0.300000,
42.654600,0.000000,347.100000,,,2.000000
42.688530,,,0.000000,0.300000,
42.754540,0.000000,347.100000,,,2.000000
42.788410,,,0.000000,0.300000,
42.854630,0.000000,347.100000,,,2.000000
42.888490,,,0.000000,0.300000,
42.954630,0.000000,347.100000,,,2.000000
42.989710,,,0.000000,0.300000,
43.054570,0.000000,347.100000,,,2.000000
43.089780,,,0.000000,0.300000,
43.155260,0.000000,347.100000,,,2.000000
43.189740,,,0.000000,0.300000,
43.254560,0.000000,347.100000,,,2.000000
43.289710,,,0.000000,0.300000,
43.354570,0.000000,347.100000,,,2.000000
43.389680,,,0.000000,0.300000,
43.454560,0.000000,347.100000,,,2.000000
43.489750,,,0.000000,0.300000,
43.554670,0.000000,347.100000,,,2.000000
43.588400,,,0.000000,0.300000,
43.654550,0.000000,347.100000,,,2.000000
43.689710,,,0.000000,0.300000,
43.754590,0.000000,347.100000,,,2.000000
43.789760,,,0.000000,0.300000,
43.854570,0.000000,347.100000,,,2.000000
43.889740,,,0.000000,0.300000,
43.954550,0.000000,347.100000,,,2.000000
43.989620,,,0.000000,0.300000,
44.054580,0.000000,347.100000,,,2.000000
44.089710,,,0.000000,0.300000,
44.154550,0.000000,347.100000,,,2.000000
44.189760,,,0.000000,0.300000,
44.255290,0.000000,347.100000,,,2.000000
44.289730,,,0.000000,0.300000,
44.354610,0.000000,347.100000,,,2.000000
44.389700,,,0.000000,0.300000,
44.454570,0.000000,347.100000,,,2.000000
44.489660,,,0.000000,0.300000,
44.554610,0.000000,347.100000,,,2.000000
44.589750,,,0.000000,0.300000,
44.654610,0.000000,347.100000,,,2.000000
44.689720,,,0.000000,0.300000,
44.754660,0.000000,347.100000,,,2.000000
44.789690,,,0.000000,0.300000,
44.855290,0.000000,347.100000,,,2.000000
44.889690,,,0.000000,0.300000,
44.954560,0.000000,347.100000,,,2.000000
44.989740,,,0.000000,0.300000,
45.054590,0.000000,347.100000,,,2.000000
45.089620,,,0.000000,0.300000,
45.154560,0.000000,347.100000,,,2.000000
45.189720,,,0.000000,0.300000,
45.254540,0.000000,347.100000,,,2.000000
45.289690,,,0.000000,0.300000,
45.354540,0.000000,347.100000,,,2.000000
45.389730,,,0.000000,0.300000,
45.455290,0.000000,347.100000,,,2.000000
45.489700,,,0.000000,0.300000,
45.554560,0.000000,347.100000,,,2.000000
45.589680,,,0.000000,0.300000,
45.654560,0.000000,347.100000,,,2.000000
45.689640,,,0.000000,0.300000,
45.754560,0.000000,347.100000,,,2.000000
45.789730,,,0.000000,0.300000,
45.854670,0.000000,347.100000,,,2.000000
45.889690,,,0.000000,0.300000,
45.954520,0.000000,347.100000,,,2.000000
45.989680,,,0.000000,0.300000,
46.055260,0.000000,347.100000,,,2.000000
46.089670,,,0.000000,0.300000,
46.154530,0.000000,347.100000,,,2.000000
46.189740,,,0.000000,0.300000,
46.254530,0.000000,347.100000,,,2.000000
46.289580,,,0.000000,0.300000,
46.354530,0.000000,347.100000,,,2.000000
46.389680,,,0.000000,0.300000,
46.454520,0.000000,347.100000,,,2.000000
46.489670,,,0.000000,0.300000,
46.554490,0.000000,347.100000,,,2.000000
46.589710,,,0.000000,0.300000,
46.655220,0.000000,347.100000,,,2.000000
46.689680,,,0.000000,0.300000,
46.754610,0.000000,347.100000,,,2.000000
46.789640,,,0.000000,0.300000,
46.854550,0.000000,347.100000,,,2.000000
46.889520,,,0.000000,0.300000,
46.954510,0.000000,347.100000,,,2.000000
46.989700,,,0.000000,0.300000,
47.054530,0.000000,347.100000,,,2.000000
47.089670,,,0.000000,0.300000,
47.154480,0.000000,347.100000,,,2.000000
47.189630,,,0.000000,0.300000,
47.255240,0.000000,347.100000,,,2.000000
47.289600,,,0.000000,0.300000,
47.354510,0.000000,347.100000,,,2.000000
47.389570,,,0.000000,0.300000,
47.454650,0.000000,347.100000,,,2.000000
47.489450,,,0.000000,0.300000,
47.554470,0.000000,347.100000,,,2.000000
47.589500,,,0.000000,0.300000,
47.654490,0.000000,347.100000,,,2.000000
47.689470,,,0.000000,0.300000,
47.755780,0.000000,347.100000,,,2.000000
47.789560,,,0.000000,0.300000,
47.854480,0.000000,347.100000,,,2.000000
47.889530,,,0.000000,0.300000,
47.954480,0.000000,347.100000,,,2.000000
47.989490,,,0.000000,0.300000,
48.054490,0.000000,347.100000,,,2.000000
48.089370,,,0.000000,0.300000,
48.154530,0.000000,347.100000,,,2.000000
48.189430,,,0.000000,0.300000,
48.254650,0.000000,347.100000,,,2.000000
48.289390,,,0.000000,0.300000,
48.354480,0.000000,347.100000,,,2.000000
48.389360,,,0.000000,0.300000,
48.454480,0.000000,347.100000,,,2.000000
48.489330,,,0.000000,0.300000,
48.554480,0.000000,347.100000,,,2.000000
48.589420,,,0.000000,0.300000,
48.654460,0.000000,347.100000,,,2.000000
48.689290,,,0.000000,0.300000,
48.754480,0.000000,347.100000,,,2.000000
48.789360,,,0.000000,0.300000,
48.854510,0.000000,347.100000,,,2.000000
48.889310,,,0.000000,0.300000,
48.954500,0.000000,347.100000,,,2.000000
48.989280,,,0.000000,0.300000,
49.054500,0.000000,347.100000,,,2.000000
49.089250,,,0.000000,0.300000,
49.154460,0.000000,347.100000,,,2.000000
49.189200,,,0.000000,0.300000,
49.254540,0.000000,347.100000,,,2.000000
49.289200,,,0.000000,0.300000,
49.354500,0.000000,347.100000,,,2.000000
49.389260,,,0.000000,0.300000,
49.454490,0.000000,347.100000,,,2.000000
49.489220,,,0.000000,0.300000,
49.554490,0.000000,347.100000,,,2.000000
49.589200,,,0.000000,0.300000,
49.654480,0.000000,347.100000,,,2.000000
49.689170,,,0.000000,0.300000,
49.754490,0.000000,347.100000,,,2.000000
49.789140,,,0.000000,0.300000,
49.854620,0.000000,347.100000,,,2.000000
49.889020,,,0.000000,0.300000,
49.954490,0.000000,347.100000,,,2.000000
49.989070,,,0.000000,0.300000,
50.054430,0.000000,347.100000,,,2.000000
50.089040,,,0.000000,0.300000,
50.155320,0.000000,347.100000,,,2.000000
50.189000,,,0.000000,0.300000,
50.254470,0.000000,347.100000,,,2.000000
50.288970,,,0.000000,0.300000,
50.354450,0.000000,347.100000,,,2.000000
50.388850,,,0.000000,0.300000,
50.454490,0.000000,347.100000,,,2.000000
50.488900,,,0.000000,0.300000,
50.554450,0.000000,347.100000,,,2.000000
50.588870,,,0.000000,0.300000,
50.654440,0.000000,347.100000,,,2.000000
50.688960,,,0.000000,0.300000,
50.755380,0.000000,347.100000,,,2.000000
50.788930,,,0.000000,0.300000,
50.854500,0.000000,347.100000,,,2.000000
50.888900,,,0.000000,0.300000,
50.954460,0.000000,347.100000,,,2.000000
50.988770,,,0.000000,0.300000,
51.054940,0.000000,347.100000,,,2.000000
51.088830,,,0.000000,0.300000,
51.154480,0.000000,347.100000,,,2.000000
51.188800,,,0.000000,0.300000,
51.254410,0.000000,347.100000,,,2.000000
51.288760,,,0.000000,0.300000,
51.355160,0.000000,347.100000,,,2.000000
51.388730,,,0.000000,0.300000,
51.454600,0.000000,347.100000,,,2.000000
51.488700,,,0.000000,0.300000,
51.554450,0.000000,347.100000,,,2.000000
51.588570,,,0.000000,0.300000,
51.654460,0.000000,347.100000,,,2.000000
51.688630,,,0.000000,0.300000,
51.754460,0.000000,347.100000,,,2.000000
51.788600,,,0.000000,0.300000,
51.854400,0.000000,347.100000,,,2.000000
51.888560,,,0.000000,0.300000,
51.955210,0.000000,347.100000,,,2.000000
51.988530,,,0.000000,0.300000,
52.054500,0.000000,347.100000,,,2.000000
52.088520,,,2.800000,33.800000,
52.154470,0.000000,347.100000,,,2.000000
52.188250,,,1.300000,326.700000,
52.254490,-0.400000,347.100000,,,2.000000
52.288340,,,-0.100000,346.500000,
52.354460,-0.100000,347.100000,,,3.000000
52.388390,,,-0.100000,347.100000,
52.454460,-0.100000,347.100000,,,3.000000
52.488360,,,-0.100000,347.100000,
52.555130,0.000000,347.100000,,,3.000000
52.588340,,,-0.100000,347.100000,
52.654450,0.000000,347.100000,,,3.000000
52.688330,,,-0.100000,347.100000,
52.754450,-0.100000,347.100000,,,3.000000
52.788280,,,-0.100000,347.100000,
52.854460,0.000000,347.100000,,,3.000000
52.888330,,,-0.100000,347.100000,
52.954460,0.000000,347.100000,,,3.000000
52.988300,,,-0.100000,347.100000,
53.054450,0.000000,347.100000,,,3.000000
53.088300,,,-0.100000,347.100000,
53.155120,0.000000,347.100000,,,3.000000
53.183280,,,-0.100000,347.100000,
53.254430,0.000000,347.100000,,,3.000000
53.288270,,,-0.100000,347.100000,
53.354480,0.000000,347.100000,,,3.000000
53.388210,,,-0.100000,347.100000,
53.454490,0.000000,347.100000,,,3.000000
53.488290,,,-0.100000,347.100000,
53.554440,0.000000,347.100000,,,3.000000
53.588280,,,-0.100000,347.100000,
53.654410,-0.100000,347.100000,,,3.000000
53.688250,,,-0.100000,347.100000,
53.754630,-0.100000,347.100000,,,3.000000
53.788320,,,-0.100000,347.100000,
53.854450,-0.100000,347.100000,,,3.000000
53.883190,,,-0.100000,347.100000,
53.954420,-0.100000,347.100000,,,3.000000
53.983360,,,-0.100000,347.100000,
54.054430,0.000000,347.100000,,,3.000000
54.083330,,,-0.100000,347.100000,
54.154430,0.000000,347.100000,,,3.000000
54.183320,,,-0.100000,347.100000,
54.254420,0.000000,347.100000,,,3.000000
54.283370,,,-0.100000,347.100000,
54.354430,0.000000,347.100000,,,3.000000
54.383350,,,-0.100000,347.100000,
54.454460,0.000000,347.100000,,,3.000000
54.483240,,,-0.100000,347.100000,
54.554480,0.000000,347.100000,,,3.000000
54.583320,,,-0.100000,347.100000,
54.654440,0.000000,347.100000,,,3.000000
54.683360,,,-0.100000,347.100000,
54.754400,0.000000,347.100000,,,3.000000
54.783340,,,-0.100000,347.100000,
54.854580,0.000000,347.100000,,,3.000000
54.883310,,,-0.100000,347.100000,
54.954430,0.000000,347.100000,,,3.000000
54.983310,,,-0.100000,347.100000,
55.054490,0.000000,347.100000,,,3.000000
55.083270,,,-0.100000,347.100000,
55.154420,0.000000,347.100000,,,3.000000
55.183340,,,-0.100000,347.100000,
55.254410,0.000000,347.100000,,,3.000000
55.283310,,,-0.100000,347.100000,
55.354460,0.000000,347.100000,,,3.000000
55.383310,,,-0.100000,347.100000,
55.455130,0.000000,347.100000,,,3.000000
55.483350,,,-0.100000,347.100000,
55.554420,0.000000,347.100000,,,3.000000
55.583330,,,-0.100000,347.100000,
55.654420,0.000000,347.100000,,,3.000000
55.683210,,,0.000000,347.100000,
55.754550,0.000000,347.100000,,,3.000000
55.783290,,,0.000000,347.100000,
55.854400,0.000000,347.100000,,,3.000000
55.883330,,,0.000000,347.100000,
55.954490,0.000000,347.100000,,,3.000000
55.983300,,,0.000000,347.100000,
56.054410,0.000000,347.100000,,,3.000000
56.083260,,,0.000000,347.100000,
56.154410,0.000000,347.100000,,,3.000000
56.183160,,,0.000000,347.100000,
56.254630,0.000000,347.100000,,,3.000000
56.283250,,,0.000000,347.100000,
56.354450,0.000000,347.100000,,,3.000000
56.383220,,,0.000000,347.100000,
56.454470,0.000000,347.100000,,,3.000000
56.483250,,,0.000000,347.100000,
56.554400,0.000000,347.100000,,,3.000000
56.583250,,,0.000000,347.100000,
56.654420,0.000000,347.100000,,,3.000000
56.683240,,,0.000000,347.100000,
56.754580,0.000000,347.100000,,,3.000000
56.783170,,,0.000000,347.100000,
56.854400,0.000000,347.100000,,,3.000000
56.883280,,,0.000000,347.100000,
56.954390,0.000000,347.100000,,,3.000000
56.983270,,,0.000000,347.100000,
57.054400,0.000000,347.100000,,,3.000000
57.083310,,,0.000000,347.100000,
57.155040,0.000000,347.100000,,,3.000000
57.183280,,,0.000000,347.100000,
57.254430,0.000000,347.100000,,,3.000000
57.283270,,,0.000000,347.100000,
57.354370,0.000000,347.100000,,,3.000000
57.383230,,,0.000000,347.100000,
57.454370,0.000000,347.100000,,,3.000000
57.483310,,,0.000000,347.100000,
57.554390,0.000000,347.100000,,,3.000000
57.583270,,,0.000000,347.100000,
57.654420,0.000000,347.100000,,,3.000000
57.683260,,,0.000000,347.100000,
57.754410,0.000000,347.100000,,,3.000000
57.783310,,,0.000000,347.100000,
57.854410,0.000000,347.100000,,,3.000000
57.883210,,,0.000000,347.100000,
57.954390,0.000000,347.100000,,,3.000000
57.983260,,,0.000000,347.100000,
58.054400,0.000000,347.100000,,,3.000000
58.083260,,,0.000000,347.100000,
58.154410,0.000000,347.100000,,,3.000000
58.183310,,,0.000000,347.100000,
58.255130,0.000000,347.100000,,,3.000000
58.283290,,,0.000000,347.100000,
58.354420,0.000000,347.100000,,,3.000000
58.383250,,,0.000000,347.100000,
58.454390,0.000000,347.100000,,,3.000000
58.483220,,,0.000000,347.100000,
58.554430,0.000000,347.100000,,,3.000000
58.583300,,,0.000000,347.100000,
58.654370,0.000000,347.100000,,,3.000000
58.683280,,,0.000000,347.100000,
58.754360,0.000000,347.100000,,,3.000000
58.783250,,,0.000000,347.100000,
58.855080,0.000000,347.100000,,,3.000000
58.883250,,,0.000000,347.100000,
58.954380,0.000000,347.100000,,,3.000000
58.983230,,,0.000000,347.100000,
59.054430,0.000000,347.100000,,,3.000000
59.083170,,,0.000000,347.100000,
59.154340,0.000000,347.100000,,,3.000000
59.183220,,,0.000000,347.100000,
59.254420,0.000000,347.100000,,,3.000000
59.283210,,,0.000000,347.100000,
59.354350,0.000000,347.100000,,,3.000000
59.383200,,,0.000000,347.100000,
